"incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","row_id","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","latitude","longitude","point",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_h4ep_8xdi",":@computed_region_y6ts_4iup",":@computed_region_jg9y_a9du"
"2019-10-02T18:05:00.000","2019-10-02T00:00:00.000","18:05","2019","Wednesday","2019-10-03T00:16:00.000","85426506244","854265","196208164",,"II","Coplogic Initial","true","06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","BATTERY ST \ BROADWAY","30765000","Central","Financial District/South Beach","3","37.798580053214444","-122.40105129412207","POINT (-122.40105129412207 37.798580053214444)","77","6","3","8",,,,,
"2019-10-03T18:55:00.000","2019-10-03T00:00:00.000","18:55","2019","Thursday","2019-10-03T18:55:00.000","85413662050","854136","190744069","192763594","II","Initial",,"62050","Warrant","Warrant","Warrant Arrest, Enroute To Outside Jurisdiction","Cite or Arrest Adult","VALENCIA ST \ MARKET ST","30755000","Southern","Mission","6","37.77250281646585","-122.42261969178954","POINT (-122.42261969178954 37.77250281646585)","26","1","10","20",,,,,
"2019-10-03T16:27:00.000","2019-10-03T00:00:00.000","16:27","2019","Thursday","2019-10-03T16:30:00.000","85417151050","854171","190743475","192762901","II","Initial",,"51050","Non-Criminal","Non-Criminal","Aided case, Naloxone Deployment","Open or Active","17TH ST \ POTRERO AVE","24020000","Mission","Mission","10","37.76448782858365","-122.4074197397518","POINT (-122.4074197397518 37.76448782858365)",,"3","9","20","3",,,,
"2019-10-04T05:05:00.000","2019-10-04T00:00:00.000","05:05","2019","Friday","2019-10-04T05:16:00.000","85430907100","854309","190744865","192770395","II","Initial",,"07100","Vandalism","Vandalism","Vehicle, Tampering","Open or Active","NEWCOMB AVE \ SELBY ST","20793000","Bayview","Bayview Hunters Point","10","37.740528541050715","-122.39912411100707","POINT (-122.39912411100707 37.740528541050715)","85","2","9","1",,,,,
"2019-10-04T02:50:00.000","2019-10-04T00:00:00.000","02:50","2019","Friday","2019-10-04T02:52:00.000","85429828100","854298","190744780","192770255","II","Initial",,"28100","Malicious Mischief","Vandalism","Malicious Mischief, Breaking Windows","Open or Active","BROADWAY \ DAVIS ST","24798000","Central","Financial District/South Beach","3","37.79888096617859","-122.39869570327996","POINT (-122.39869570327996 37.79888096617859)","77","6","3","8",,,,,
"2019-09-26T19:00:00.000","2019-09-26T00:00:00.000","19:00","2019","Thursday","2019-10-03T18:42:00.000","85410909262","854109","190743732","192763502","II","Initial",,"09262","Forgery And Counterfeiting","Forgery And Counterfeiting","Forgery & Counterfeiting (general)","Open or Active","THE EMBARCADERO \ KING ST \ TOWNSEND ST","23592000","Southern","Financial District/South Beach","6","37.78179823456385","-122.3883060691773","POINT (-122.3883060691773 37.78179823456385)","31","1","10","8",,,,,"1"
"2019-10-03T15:00:00.000","2019-10-03T00:00:00.000","15:00","2019","Thursday","2019-10-04T08:51:00.000","85438506373","854385","190745142","192770935","II","Initial",,"06373","Larceny Theft","Larceny Theft - Other","Theft, Other Property, $200-$950","Open or Active","04TH ST \ BLUXOME ST","23822000","Southern","South of Market","6","37.77769841953334","-122.39574395575234","POINT (-122.39574395575234 37.77769841953334)","32","1","10","34",,,,,
"2019-09-17T00:00:00.000","2019-09-17T00:00:00.000","00:00","2019","Tuesday","2019-10-04T16:00:00.000","85447309024","854473","190702073","190702073","IS","Initial Supplement",,"09024","Fraud","Fraud","Fraudulent Game or Trick, Obtaining Money or Property","Open or Active","ANZA ST \ 06TH AVE","27275000","Richmond","Inner Richmond","1","37.779090726308574","-122.46414497098554","POINT (-122.46414497098554 37.779090726308574)","5","8","4","11",,,,,
"2019-10-04T13:30:00.000","2019-10-04T00:00:00.000","13:30","2019","Friday","2019-10-04T13:30:00.000","85441619400","854416","180889619","192771986","IS","Initial Supplement",,"19400","Disorderly Conduct","Other","Gang Related (secondary only)","Cite or Arrest Juvenile","BOARDMAN PL \ BRYANT ST","23914000","Southern","South of Market","6","37.7751608100771","-122.40363551943442","POINT (-122.40363551943442 37.7751608100771)","32","1","10","34",,,,,
"2019-10-04T08:28:00.000","2019-10-04T00:00:00.000","08:28","2019","Friday","2019-10-04T08:28:00.000","85432564020","854325","190745089","192770846","II","Initial",,"64020","Non-Criminal","Other","Mental Health Detention","Open or Active","BATTERY ST \ BUSH ST","24672000","Central","Financial District/South Beach","3","37.791326532588194","-122.39957203000154","POINT (-122.39957203000154 37.791326532588194)","108","6","3","8",,,,,
"2019-10-04T10:00:00.000","2019-10-04T00:00:00.000","10:00","2019","Friday","2019-10-04T17:08:00.000","85443509024","854435","190746413","192773006","II","Initial",,"09024","Fraud","Fraud","Fraudulent Game or Trick, Obtaining Money or Property","Open or Active","CAPP ST \ ADAIR ST","24366000","Mission","Mission","9","37.76568623167785","-122.41863361890303","POINT (-122.41863361890303 37.76568623167785)","53","3","2","20","3",,,,
