NAME,BRANDNAME,PB_ID,TRADE_NAME,FRANCHISE_NAME,ISO3,AREANAME4,AREANAME3,AREANAME2,AREANAME1,STABB,POSTCODE,FORMATTEDADDRESS,MAINADDRESSLINE,ADDRESSLASTLINE,LONGITUDE,LATITUDE,GEORESULT,CONFIDENCE_CODE,COUNTRY_ACCESS_CODE,TEL_NUM,FAXNUM,EMAIL,HTTP,OPEN_24H,BUSINESS_LINE,SIC1,SIC2,SIC8,SIC8_DESCRIPTION,ALT_INDUSTRY_CODE,MICODE,TRADE_DIVISION,GROUP,CLASS,SUB_CLASS,EMPLOYEE_HERE,EMPLOYEE_COUNT,YEAR_START,SALES_VOLUME_LOCAL,SALES_VOLUME_US_DOLLARS,CURRENCY_CODE,AGENT_CODE,LEGAL_STATUS_CODE,STATUS_CODE,SUBSIDIARY_INDICATOR,PARENT_BUSINESS_NAME,PARENT_ADDRESS,PARENT_STREET_ADDRESS,PARENT_AREANAME3,PARENT_AREANAME1,PARENT_COUNTRY,PARENT_POSTCODE,DOMESTIC_ULTIMATE_BUSINESS_NAME,DOMESTIC_ULTIMATE_ADDRESS,DOMESTIC_ULTIMATE_STREET_ADDRESS,DOMESTIC_ULTIMATE_AREANAME3,DOMESTIC_ULTIMATE_AREANAME1,DOMESTIC_ULTIMATE_POSTCODE,GLOBAL_ULTIMATE_INDICATOR,GLOBAL_ULTIMATE_BUSINESS_NAME,GLOBAL_ULTIMATE_ADDRESS,GLOBAL_ULTIMATE_STREET_ADDRESS,GLOBAL_ULTIMATE_AREANAME3,GLOBAL_ULTIMATE_AREANAME1,GLOBAL_ULTIMATE_COUNTRY,GLOBAL_ULTIMATE_POSTCODE,FAMILY_MEMBERS,HIERARCHY_CODE,TICKER_SYMBOL,EXCHANGE_NAME,geom
JOAN PERE,,2161397213,,,ESP,,MONTCADA I REIXAC,BARCELONA,CATALUÑA,CT,08110,"CARRER MAJOR 0054, 08110, MONTCADA I REIXAC, BARCELONA",CARRER MAJOR 0054,"08110, MONTCADA I REIXAC, BARCELONA",2.187591,41.484947,T16,MEDIUM,,938 67 54 76,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.187591 41.484947)
CARMONA GARCIA JOSE,,2102478318,,,ESP,,MOIÀ,BARCELONA,CATALUÑA,CT,08180,"CARRETERA VIC 45, 08180, MOIÀ, BARCELONA",CARRETERA VIC 45,"08180, MOIÀ, BARCELONA",2.105672,41.8086654,T19,LOW,,938 30 08 21,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.105672 41.8086654)
MAGIC TECH,,2096375148,,,ESP,,BARCELONA,BARCELONA,CATALUÑA,CT,08020,"CARRER DE CANTÀBRIA 75, 08020, BARCELONA, BARCELONA",CARRER DE CANTÀBRIA 75,"08020, BARCELONA, BARCELONA",2.19884,41.424,S8HPNTSCZA,HIGH,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.19884 41.424)
CARNICERIA MACIA,,2159717248,,,ESP,,BARCELONA,BARCELONA,CATALUÑA,CT,08030,"CARRER DEL VINTRÓ 0004, 08030, BARCELONA, BARCELONA",CARRER DEL VINTRÓ 0004,"08030, BARCELONA, BARCELONA",2.187988,41.43535,T16,MEDIUM,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.187988 41.43535)
FRUITS MONTULL,,2161150127,,,ESP,,LA GARRIGA,BARCELONA,CATALUÑA,CT,08530,"CARRER DELS BANYS 11, 08530, LA GARRIGA, BARCELONA",CARRER DELS BANYS 11,"08530, LA GARRIGA, BARCELONA",2.28583,41.68401,T17,MEDIUM,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.28583 41.68401)
LAVITUR,,2096503849,,,ESP,,TERRASSA,BARCELONA,CATALUÑA,CT,08223,"AVINGUDA DE SANTA EULÀLIA 153, 08223, TERRASSA, BARCELONA",AVINGUDA DE SANTA EULÀLIA 153,"08223, TERRASSA, BARCELONA",2.01671,41.55047,S8HPNTSCZA,HIGH,,937 85 95 95,937 85 95 95,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.01671 41.55047)
NELLY,,2163662328,,,ESP,,SANT FELIU DE LLOBREGAT,BARCELONA,CATALUÑA,CT,08980,"CARRER DE SANTA CREU 0031, 08980, SANT FELIU DE LLOBREGAT, BARCELONA",CARRER DE SANTA CREU 0031,"08980, SANT FELIU DE LLOBREGAT, BARCELONA",2.046831,41.386559,T16,MEDIUM,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.046831 41.386559)
GERMANS LOPEZ CODINAS C DE B,,2162178877,,,ESP,,SABADELL,BARCELONA,CATALUÑA,CT,08208,"CARRER MAJOR 1, 08208, SABADELL, BARCELONA",CARRER MAJOR 1,"08208, SABADELL, BARCELONA",2.102166,41.554936,T17,MEDIUM,,937 16 13 76,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.102166 41.554936)
L H TE GUST,,2161745609,,,ESP,,L'HOSPITALET DE LLOBREGAT,BARCELONA,CATALUÑA,CT,08901,"CARRER DEL PRÍNCEP DE BERGARA, 08901, L'HOSPITALET DE LLOBREGAT, BARCELONA",CARRER DEL PRÍNCEP DE BERGARA,"08901, L'HOSPITALET DE LLOBREGAT, BARCELONA",2.09856,41.35939,T17,MEDIUM,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(2.09856 41.35939)
J VIVES,,2165408739,,,ESP,,VILAFRANCA DEL PENEDÈS,BARCELONA,CATALUÑA,CT,08720,"PLAÇA DE LA CONSTITUCIÓ 16 0000, 08720, VILAFRANCA DEL PENEDÈS, BARCELONA",PLAÇA DE LA CONSTITUCIÓ 16 0000,"08720, VILAFRANCA DEL PENEDÈS, BARCELONA",1.698,41.34728,T18,MEDIUM,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.698 41.34728)
ROGES SUPERMERCATS,,2165386831,,,ESP,,SÚRIA,BARCELONA,CATALUÑA,CT,08260,"CARRER DE SANT JOSEP 8, 08260, SÚRIA, BARCELONA",CARRER DE SANT JOSEP 8,"08260, SÚRIA, BARCELONA",1.750825,41.830838,T18,MEDIUM,,938 69 58 90,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.750825 41.830838)
